,Title,Content
0,[Introduction],"['Mr President,', 'I move that the Appropriation Bill 2014 be read a second time.', ""2.In the 16 years since our return to China, Hong Kong has seen significant developments in people's livelihood and in the social, economic and political spheres. Now, in 2014, we have reached a crucial juncture. We must work together to prepare ourselves for the future, to strengthen further our solid foundation for the well-being of this generation and the next."", '3.The community is now discussing the methods for selecting the Chief Executive in 2017 and for forming the Legislative Council in 2016. I fervently hope that the community will set aside differences, reach a consensus and chart a course towards universal suffrage.', '4.On the economic front, the external environment last year was mixed with the US Federal Reserve Board changing towards the end of the year the quantitative easing policy which it has sustained for years. It is likely that there will be larger and more frequent capital flows into and out of Hong Kong. We must be prepared to withstand the inevitable volatility while adapting to the underlying changes in the global landscape to open up opportunity for future development.', '5.Last month, the Chief Executive delivered a wide ranging Policy Address with over 160 measures benefiting a broad spectrum of the community. The additional expenditure involved is $25 billion. I shall ensure that financial resources are adequate to fully support the early launch of the relevant initiatives to meet the aspirations of the public.', '6.I set up the Working Group on Long-Term Fiscal Planning to explore ways to make more comprehensive planning for our public finances to cope with an ageing population and other long-term commitments. I would like to express my heartfelt gratitude to the experts and scholars in the Working Group for their hard work in the past six months or so as well as their independent and professional analyses and recommendations. The Working Group\'s report points out that, with an ageing population and a shrinking workforce, economic and revenue growth would decelerate; a structural deficit would be inevitable if expenditure growth outpaces revenue growth in a persistent manner. This reminds us of the importance of ""living within our means"" and ""fiscal prudence"". Government will keep the overall fiscal health in view and take timely targeted measures to ensure the sustainability of public finances.', ""7.Competitiveness is the theme of this Budget. I shall set out proposals on bolstering Hong Kong's position as an international hub, the promotion of industries, the keys and limits to development, and fiscal sustainability. I believe that the proposed measures will enhance our competitiveness, help keep Hong Kong's economy growing, improve our business environment, increase employment opportunities and maintain the health of public finances. With all this in place, I hope that everyone in the community will be able to realise their potential, live a better life and pursue their aspirations.""]"
1,[Economic Performance in 2013],"[""Economic Performance in 20138.The domestic sector remained resilient amid challenges facing the global economy in 2013. The Hong Kong economy grew by 2.9 per cent for the year, a marked improvement over 1.5 per cent in 2012.9.The US and European economies were beset by a tepid recovery, which put a drag on Hong Kong's trade performance. Merchandise exports to the US shrank by four per cent in 2013 and those to the European Union (EU) fell by one per cent.10.China's robust economy is the driving force of economic growth in the region and underpins the Hong Kong economy. More than half of Hong Kong's exports of goods went to the Mainland market, outpacing other markets. As for tourism, visitors from the Mainland accounted for 75 per cent of the total arrivals and helped stabilise the local economy and preserve employment.11.Energy and raw material prices remained stable, alongside a generally moderate increase in import prices of food. Domestic price pressures, however, were more notable. Inflation edged up in the third quarter of last year, reflecting the lagged effects of the surge in private housing rentals in 2012, but tapered subsequently following the decelerated rise in fresh-letting rentals since early 2013. The average headline inflation rate for 2013 as a whole was 4.3 per cent, while the underlying inflation rate, at four per cent, was down by 0.7 percentage point from 2012.12.The unemployment rate averaged at a low level of 3.3 per cent, buoying the local consumption market. The initiatives introduced in last year's Budget, including a $33 billion package of one-off counter-cyclical measures, had a fiscal stimulus effect of boosting the GDP by 1.3 percentage points, thereby helping to stabilise the economy and preserve employment.Content | Next Page"", '8.The domestic sector remained resilient amid challenges facing the global economy in 2013. The Hong Kong economy grew by 2.9 per cent for the year, a marked improvement over 1.5 per cent in 2012.', ""9.The US and European economies were beset by a tepid recovery, which put a drag on Hong Kong's trade performance. Merchandise exports to the US shrank by four per cent in 2013 and those to the European Union (EU) fell by one per cent."", ""10.China's robust economy is the driving force of economic growth in the region and underpins the Hong Kong economy. More than half of Hong Kong's exports of goods went to the Mainland market, outpacing other markets. As for tourism, visitors from the Mainland accounted for 75 per cent of the total arrivals and helped stabilise the local economy and preserve employment."", '11.Energy and raw material prices remained stable, alongside a generally moderate increase in import prices of food. Domestic price pressures, however, were more notable. Inflation edged up in the third quarter of last year, reflecting the lagged effects of the surge in private housing rentals in 2012, but tapered subsequently following the decelerated rise in fresh-letting rentals since early 2013. The average headline inflation rate for 2013 as a whole was 4.3 per cent, while the underlying inflation rate, at four per cent, was down by 0.7 percentage point from 2012.', ""12.The unemployment rate averaged at a low level of 3.3 per cent, buoying the local consumption market. The initiatives introduced in last year's Budget, including a $33 billion package of one-off counter-cyclical measures, had a fiscal stimulus effect of boosting the GDP by 1.3 percentage points, thereby helping to stabilise the economy and preserve employment.""]"
2,[Economic Outlook for 2014],"[""13.The US economy may see some improvement in 2014. Nevertheless, there is still uncertainty over the Federal Reserve Board's exit strategy and interest rate policy. Possible market fluctuations and the risk of reversal of capital flows will cast shadows over global economic growth this year."", '14.The Eurozone has pulled out of recession. However, the root problems have yet to be solved, the financial markets are feeble, and unemployment rates are high. Fundamentals are still weak and, as a result, the economic recovery will remain sluggish.', ""15.Japan's government debt has reached as high as two and a half times the country's GDP. The economy, while being troubled by the threat of deflation, lacked momentum over the past two decades. It remains to be seen whether the economy will be able to maintain its growth trend propped up by the Japanese government's quantitative easing programme last year."", '16.The fiscal issues faced by these advanced economies have features in common, namely imbalanced fiscal structures, high debts and high unemployment rates. The governments of these economies adopted expansionary policies to boost economic growth and employment, but the need to mend public finances and reduce fiscal deficits give rise to contractionary pressures. Such contradictory policies would intensify social conflicts and unrest and make the road to economic recovery even more bumpy. Hong Kong must learn from their lessons.', '17.Ultra-low interest rates and abundant liquidity under the loose global monetary environment have exposed emerging markets to risks of all kinds, including bursting of asset-price bubbles, greater volatilities of stock prices and exchange rates and intensified inflation pressure. This will dampen their economic growth and performance.', '18.The geopolitical uncertainties in many parts of the world are still a cause for concern in the coming year. It is difficult to predict what will happen.', '19.The faster economic growth in the Mainland provides crucial support to the regional economy. In Hong Kong, local consumption prospects remain positive, inbound visitor numbers continue to grow and major infrastructure works are steaming ahead, all fuelling domestic demand; the weak external environment is also expected to show some improvement.', '20.I forecast GDP growth of three to four per cent in 2014, lower than the average annual growth rate of 4.5 per cent over the past decade. As for unemployment rate, barring any external shocks, the labour market is expected to remain in a state of full employment.', '21.On inflation, global economic growth and inflation are likely to stay modest, and global food prices should hold steady by and large. Domestically, the uptrend of factor costs is tapering off. This, coupled with the markedly slower rise in rentals for fresh-letting of flats and shops last year, will help ease inflation pressure this year. I forecast that the headline inflation for 2014 will average 4.6 per cent and underlying inflation at 3.7 per cent.', '22.Low interest rates and abundant liquidity have seen the local property market out of line with economic fundamentals, with heightened risk of a bubble. Before the supply-demand situation of the property market regains its balance, Government must continue with its demand-side management measures. These serve to forestall an increased risk of a property bubble that would hamper our macro-economic and financial stability. Keeping the external environment and market conditions in view, I shall adjust these exceptional measures where and when appropriate.']"
3,[Hong Kong's Competitiveness],"['23.Some citizens have expressed concern about Hong Kong losing its edge. They worry that weakening competitiveness and slower development might see Hong Kong lose its international status to other places and take their toll on our economy and employment. Our competitive edge cannot be taken for granted, nor is it self-sustaining. It is essential that we seize every opportunity to improve, and aptly respond to possible crises along the way. On the one hand, we should understand our advantages and limitations, and consolidate our time-honoured success model. On the other hand, we should adapt to evolving circumstances.', ""24.Hong Kong's economic success over the years owes much to our efforts to grasp the opportunities presented by our country's development, to our steadfast commitment to free market principles and to our firm positioning as a world city. In the Index of Economic Freedom released by The Heritage Foundation last month, Hong Kong ranked first for the 20th consecutive year. For eight years in a row, we have been accredited by the World Bank with a top ranking for ease of paying taxes in its survey 'Paying Taxes - The Global Picture'. Our total tax rate is among the lowest in advanced economies. Hong Kong was rated as one of the world's three most competitive economies for the ninth consecutive year by the International Institute for Management Development in Lausanne, Switzerland."", '25.Such international recognition and acclaim do not come easy. The reports highlight a wealth of intangible assets we possess, including a set of relative strengths and social values upheld by years of hard work and perseverance. But, as our competitors are also striving for excellence, we have to work harder to stay ahead.', '26.The market economy regime encourages enterprises and individuals to translate their strengths and talents into economic benefits based on their own choices and their own efforts. It thrives on our fine tradition of the rule of the law, a level playing field promoting fair competition, an efficient public sector, and a simple and low tax regime.', '27.The Hong Kong economy could not have attained its economic achievements through the domestic sector alone. The key has been to integrate with the global community, forge extensive and strong commercial ties with the rest of the world, and to tap into markets outside Hong Kong. That is why we have all along maintained a highly open market to ensure the free flows of people, goods, capital and information, with a view to strengthening our position as an international city where East meets West.', '28.All along, Hong Kong has been participating in, and has benefited from, China\'s reform and liberalisation. Reunification has given us a unique competitive edge under ""One Country, Two Systems"". Hong Kong has become not only the largest investor in the Mainland, but also an intermediary and a bridge for trade between China and the rest of the world. Our nation\'s new round of economic reform will bring about new competition on the one hand, and much room for development on the other.', ""29.Our well-established trading and logistics industry, financial services industry, tourism industry and professional services have been showcasing Hong Kong to the international community. They have become Hong Kong's pillar industries, not on account of any mandatory government selection, but because they have been able to capitalise on their own strengths as well as Hong Kong's edge. Decades of effort by these industries amid natural selection in the international market have contributed to Hong Kong's position as a commercial hub, a financial centre, and an international tourist destination."", '30.In the foreseeable future, there is still ample room for these industries to flourish and keep moving up the value chain in their pursuit of new areas of growth, providing support and job opportunities for our economy. At the same time, we must nurture with patience new industries which have potential and international competitiveness. By doing so, we are opening up more new opportunities for our future economic development.', ""31.Manpower, land supply and an ageing population are the major constraints to Hong Kong's future development. To overcome them, we must endeavour to nurture a wealth of suitable talent for the future, increase land supply to expand the scale of the economy, and plan well ahead for an ageing society.""]"
4,[International Hub],"['32.Hong Kong boasts unparalleled access across Asia, and unrivalled connections both to international markets and to the China market. With a complementary mix of talented people and efficient infrastructure, well-developed international and domestic transport networks, quality business support services and financial infrastructure of the highest world standards, Hong Kong will continue to thrive as an international hub, a focal point for multinational enterprises.', ""33.To stay highly efficient and become even more competitive, we must put in place a comprehensive strategy, not only for improving the efficiency in the flow of people, goods, capital and information, but also for enhancing the quality of our living environment and our position as an international hub. Among other things, this tops the future agenda of Government. Our financial commitment in capital works has reached a high of $340 billion. This has yet to include our investments in mega projects, such as a new airport runway, new development areas, and reclamations. These projects will help boost Hong Kong's efficiency and economic strength, improve the living conditions, and build an ideal city for the future.""]"
5,[Transport Networks],"['34.As a major international aviation centre, Hong Kong currently has nearly 110 air carriers operating about 7 100 scheduled flights per week to and from almost 180 cities. As one of the busiest ports in the world, our city is served by about 80 international shipping lines with some 380 liner services per week to 550 destinations worldwide. Moreover, we are well connected with the Mainland through four road-based boundary crossings, two rail-based boundary crossings and two cross-boundary ferry terminals.', ""35.The Hong Kong International Airport at Chek Lap Kok is Hong Kong's most important external transport infrastructure and an essential ancillary facility for all industries. As one of the world's best and busiest airports, it handled almost 60 million passengers and more than 4.1 million tonnes of air cargo last year. With the burgeoning demand for aviation services, hourly flight movements of the two existing runways will increase from the current 65 to 68 next year."", '36.We are assisting the Airport Authority Hong Kong (AA) to press ahead with planning for a three-runway system. The project, estimated to cost over $100 billion, will foster our long-term economic development and enhance our competitiveness. The AA is conducting the environmental impact assessment with a view to securing approval this year in order to take forward the project as soon as possible for commissioning in 2023. The AA is preparing the detailed project cost, formulating budgets and examining viable financing options, which include increasing recurrent revenue, issuing bonds and keeping its operating surplus as reserves. Government will support the financing of the project.', '37.Upon the commissioning of the Hong Kong-Zhuhai-Macao Bridge in 2016, the development potential of Lantau Island will be significantly enhanced as the island transforms from the western end of Hong Kong into the centre of the Pearl River Delta (PRD). It will then take one hour to travel from Hong Kong to Macao and Zhuhai, three hours to most of the major towns and cities of the Western PRD, and about one day to major cities in Indochina such as Hanoi. This increased connectivity will help expand our market hinterland, and facilitate people flows and logistics connectivity between Hong Kong and neighbouring areas.', ""38.Upon completion of work next year, the Hong Kong section of the Guangzhou-Shenzhen-Hong Kong Express Rail Link (XRL) will reduce the journey time between Guangzhou and Hong Kong to 48 minutes, bringing together our seven-million people metropolitan area and a market of 60-million people. The XRL will also give passengers easy access to the Mainland's 16 000 kilometres high-speed railway network to all the major cities."", '39.Domestically, we have been investing in large-scale strategic road and railway projects totalling over $90 billion in the past five years to upgrade network efficiency. Projects under construction include the Tuen Mun-Chek Lap Kok Link, Central-Wan Chai Bypass and Island Eastern Corridor Link, as well as widening of Tolo Highway and Fanling Highway. They are on track for completion successively before the end of 2018. There are also major projects under planning, such as the Central Kowloon Route, the Tseung Kwan O-Lam Tin Tunnel, and Tseung Kwan O Cross Bay Link.', '40.As for railways, the West Island Line, the South Island Line (East), the Kwun Tong Line Extension and the Shatin to Central Link, at a total cost of over $110 billion, are all under construction. They are expected to be completed for commissioning between the end of this year and 2020. The existing network will then be extended to strengthen the role of railways as the backbone of the public transport system. Government will shortly announce a blueprint for railway development beyond 2020.']"
6,[Financial Infrastructure],"['41.Apart from ensuring a better flow of people and goods, Hong Kong has been enhancing its financial infrastructure for a smoother flow of capital. Three main components of the financial infrastructure, namely the interbank Real Time Gross Settlement (RTGS) systems, debt securities settlement and custodian systems, and system links for cross-border transactions. These provide multi-currency and multi-channel platforms to handle local real-time transactions in Hong Kong dollar and major foreign currencies, covering global banking, equity and debt markets.', '42.The Hong Kong Monetary Authority (HKMA) has been actively promoting electronic payment systems to boost the operational efficiency of enterprises and banks. With the launch of the first Electronic Bill Presentment and Payment platform last year, the public can now receive and schedule payments for various types of electronic bills online. Major bill-issuing departments of Government are expected to be on board by the end of this year to facilitate the online receipt and settlement of bills such as water charges and rates.', '43.In collaboration with the Hong Kong Association of Banks, the HKMA has issued the Best Practice for Near Field Communication (NFC) Mobile Payment in Hong Kong to ensure the steady development of the market. Four objectives are set out in the Best Practice, namely ""multiple payment services on a single NFC-enabled mobile phone, service continuity despite switching mobile network operators, service continuity despite changing phones, and a high level of security"". Meanwhile, an ""e-cheque service"" is expected to be launched in the latter half of 2015. The service allows individuals and enterprises to issue or deposit e-cheques via the Internet, thus cutting the time and cost for handling cheques by banks.', ""44.In last year's Budget, I proposed to introduce a licensing scheme to regulate stored value facilities (SVF), in order to ensure financial stability of SVF issuers, and to protect and manage the transactions properly. The proposed regulatory regime will foster the development of local e-commerce and relevant information technology (IT) sectors. We received general support as well as constructive suggestions from the public during consultation. We seek to introduce the relevant bill into this Council in the next legislative session."", '45.We are committed to strengthening the capacity of our trading platforms. We are set to implement a scripless securities market with enhanced efficiency and investor protection. Government plans to introduce the relevant bill into this Council in the first half of this year.']"
7,[Development as a Smart City],"[""46.Rapid IT development means swift access to worldwide information. Capacity in information processing and analysis has become a key component of the competitive edge of modern large enterprises. Small and medium enterprises (SMEs) in all sectors also stand to benefit from making use of IT for greater efficiency. Hong Kong's IT infrastructure is well developed. Today, 97 per cent of households are able to access broadband services, and 83 per cent make use of these services. With 10 000 Wi-Fi hotspots offered by Government and commercial sector, Hong Kong has one of highest concentrations of hotspots in the world. We also have a high mobile phone penetration rate of 237 per cent."", '47.In fact, we have won wide international recognition for our achievements in areas such as IT infrastructure, internet security and the free flow of information. Hong Kong was ranked first in International Internet Bandwidth. As for the Global Innovation Index and Data Centre Risk Index, Hong Kong comes first in Asia.', '48.In the recent fourth update of the Digital 21 Strategy, we have proposed a series of initiatives under the theme of ""Smarter Hong Kong, Smarter Living"", including the following five –', '(a)doubling the number of Wi-Fi hotspots with complete or time-limited free public access to 20000 by the end of this year through public-private partnership to promote city-wide Wi-Fi for all.We shall engage the public in the naming of a common Wi-Fi brand.Citizens and visitors will have easy and convenient access to Wi-Fi services;', '(b)making all government information released for public consumption machine-readable in digital formats from next year onwards to provide more opportunities for the business sector.Currently, Public Sector Information available for free access covers real-time data such as road traffic information, geo-referenced public facility data, property market statistics, population census statistics, etc;', '(c)further digitalising government operations and actively implementing paperless solutions to enhance efficiency, facilitate information sharing and protect the environment;', '(d)looking into the wider use of the Internet of Things, sensors and big data analytics to enhance our municipal management; and', '(e)considering the provision of digital identity to all Hong Kong citizens in order to develop a common, shared and safe platform for the delivery of services such as electronic health records and e-cheques.']"
8,[A Liveable City],"['49.Hong Kong needs to keep investing in environmental infrastructure to ensure cleaner air, cleaner sea water, and better treatment of solid waste. They are key to meeting the aspirations for healthy living and making Hong Kong an attractive place for all, locals as well as talents from abroad.', '50.An incentive-cum-regulatory approach to phase out all the 82 000 pre-Euro IV diesel commercial vehicles by 2020 is being pursued. We have earmarked $11.4 billion for the ex-gratia payment scheme, which will be open for application from 1 March. For years, we have been promoting the use of electric vehicles by exempting them from First Registration Tax. I propose to extend the tax exemption by three years up to 31 March 2017.', '51.The Harbour Area Treatment Scheme collects sewage from both sides of Victoria Harbour for centralised treatment at Stonecutters Island. Stage 1 of the scheme has been completed at $8.3 billion. As to Stage 2A, works are in progress at an estimated cost of $17.5 billion. Upon the scheduled completion of the main works this year, the water quality of Victoria Harbour will further improve. Sludge produced in the course of sewage treatment will be transferred to the Sludge Treatment Facility which will come into service this year. The facility will turn the sludge into energy, while alleviating the burden on landfills.', '52.As for the management of municipal solid waste, we shall invest about $30 billion in waste recycling and treatment facilities. We are pressing ahead with the provision of organic waste treatment facilities, community green stations, and waste electrical and electronic equipment processing facilities. Government is also actively pursuing measures to support the long-term and sustainable development of the recycling industry by setting up a Recycling Fund, enhancing training, promoting green procurement, etc. We are also actively taking forward the development of the Integrated Waste Management Facilities Phase 1 and the extension of the three landfills.', ""53.70 to 80 per cent of Hong Kong's fresh water comes from Dongjiang. Given the rising demand for fresh water in Guangdong Province and the challenge due to climate change, we shall endeavour to increase the supply of fresh water from local sources. Government has reserved a site for the construction of a desalination plant, and the planning and investigation study will largely be completed early next year. The desalination plant is expected to commence operation in 2020. Although the initial annual output of the plant will account for just five to ten per cent of Hong Kong's total fresh water consumption, I believe seawater desalination can serve as an important water source for Hong Kong in the long run as technology advances.""]"
9,[Development of Industries],"[""54.Hong Kong's economic accomplishment is the fruit of the concerted efforts of the community and Government over the years. Government is committed to maintaining a favourable business environment for enterprises to flourish. We liaise actively with other governments to open up more markets for enterprises, and address the specific needs of individual sectors by introducing measures to help them stand up to intense international competition.""]"
10,[Innovation and Technology Industry],"['55.To tie in with economic restructuring, even knowledge-based and high value-added industries need to progress with the times. Pursuing innovation and making good use of technology will not only facilitate development of industries, but also help raise the productivity of all sectors.', ""56.Government aims to provide an enabling environment and proper financial support for universities, research and development (R&D) organisations and industry to conduct research and commercialise their innovations. In 2012, Hong Kong's total R&D expenditure amounted to around $15 billion, of which more than half came from the public sector. We shall accelerate technology transfer of upstream R&D results to translate more innovations into commercialised midstream and downstream R&D products or services."", '57.The Innovation and Technology Fund (ITF) has been supporting applied R&D and is constantly being refined to nurture an environment conducive to innovation and technology in Hong Kong. Established 15 years ago, the ITF has funded more than 3 600 projects with about $8 billion. To further enhance the application and commercialisation of R&D results, we shall introduce two new measures –', '58.These two measures are intended to further boost R&D investments and commercialisation activities among private companies at home and attract those from abroad to bring their R&D departments to our city, hence creating a more diversified ecology for innovation and technology.', '59.I am happy to see the mushrooming of start-ups in Hong Kong over the last few years. Although no new business could guarantee success, more favourable environment will certainly help translate more new ideas into business opportunities.', '60.Government will create a better ecological environment for technology start-ups in collaboration with local R&D institutions and universities. The ITF will provide an annual funding of up to $24 million to the six designated universities to provide seed money for R&D projects that they recommend, encouraging their students and teachers to start downstream R&D businesses and commercialise their R&D results.', '61.The Hong Kong Science and Technology Parks Corporation, Cyberport and Hong Kong Design Centre will continue to provide various incubation programmes and support services for the start-ups, such as shared workspace, business knowledge training, business liaison and interflow, and investment matching activities. All these aim to help start-ups tide over the difficulties encountered in the initial stage of their business and grow further. The ""StartmeupHK"" portal of Invest Hong Kong provides start-ups with an information and exchange platform. To cater for innovation and technology start-ups in particular, Government will soon launch an interactive portal to pool stakeholders in the start-up ecosystem to promote their inventions and innovations to attract funding.', '62.The Chief Executive, in his Policy Address, proposed to set up an Innovation and Technology Bureau as a centralised body to co-ordinate and promote innovation and technology policy. The proposal is widely supported by the industry, and I look forward to its early implementation.', '(a)setting up an Enterprise Support Scheme (ESS) to replace the Small Entrepreneur Research Assistance Programme.The ESS will provide funding support for R&D activities of private sector companies, irrespective of size, with the funding ceiling for each project raised from $6million to $10million.While the recipient company must bear at least half of the cost, it may retain all the intellectual property rights of the project; and', '(b)extending the scope of funding to development work and system integration, industrial design, compliance testing and clinical trials.This will render stronger support to downstream R&D and commercialisation activities, allowing full exploitation of the technological edge of local industries.']"
11,[Pillar Industries],"[""63.The four pillar industries recorded a cumulative growth of 84 per cent over the past ten years up to 2012, exceeding the overall economic growth for the same period. They currently employ over 1.7 million people, or almost half of the total labour force, and contribute close to 60 per cent of GDP. They are the linchpin of Hong Kong's economy.""]"
